run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR14205225	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14205225/ERR14205225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/025/ERR14205225/ERR14205225_2.fastq.gz	150166995;156792897	4b092deb5deac8669a702df4dc7decba;e935437abd313a95262c7f788d16f312	ftp.sra.ebi.ac.uk/vol1/err/ERR142/025/ERR14205225/ERR14205225.bam	305359081	b317b56a2304de1e8e7318d93a2bdcce	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205225/Vc_DAN19_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205225/Vc_DAN19_y2023.R2.fastq.gz	140981912;147935693	f672513b6c1557ee7c69064ed87fff6d;6fc0db25e149cce7527aa09dbf09d9f6			
ERR14205228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/028/ERR14205228/ERR14205228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/028/ERR14205228/ERR14205228_2.fastq.gz	128676933;153090271	884b556736cd8b89a5060c0a21e2ebe0;be2185dfea1bb76b9a5fe8e9b6e1fe15	ftp.sra.ebi.ac.uk/vol1/err/ERR142/028/ERR14205228/ERR14205228.bam	278022611	b88c9a5dbd56da2e3d0b3a5f3e660054	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205228/Vc_DAN15_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205228/Vc_DAN15_y2023.R2.fastq.gz	135359491;160369441	3f0dbf70dcd67832a2efa0c6c9db67c2;6bc550c5363840ae2015c1af97791d7b			
ERR14205229	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/029/ERR14205229/ERR14205229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/029/ERR14205229/ERR14205229_2.fastq.gz	64645513;72298184	c12784ae144a619b8b7e720ce4f6c58e;4f69d64674db196282847bdd9976e4e5	ftp.sra.ebi.ac.uk/vol1/err/ERR142/029/ERR14205229/ERR14205229.bam	135368837	0fd6303c5d126dda4ba146b1b7b16680	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205229/Vc_DAN12_y2024.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205229/Vc_DAN12_y2024.R2.fastq.gz	68062311;75587955	7a425324c35f3b1a3207c18312c812e9;87eb39224096773e786b53f7aebdfb99			
ERR14205230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/030/ERR14205230/ERR14205230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/030/ERR14205230/ERR14205230_2.fastq.gz	161603294;167541323	1bfa529da3a3145a01c9ebea8cbb984e;5bb1ca4d2813e1b9cd7fd784beda6959	ftp.sra.ebi.ac.uk/vol1/err/ERR142/030/ERR14205230/ERR14205230.bam	327622416	123b1d4453867df013127ac8044cc195	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205230/Vc_DAN7_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205230/Vc_DAN7_y2023.R2.fastq.gz	152168047;158407465	45465410ed62f2cb6cee652be954ce87;907208e05d73eaa94f5e088b278200ce			
ERR14205232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/032/ERR14205232/ERR14205232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/032/ERR14205232/ERR14205232_2.fastq.gz	180199336;188135291	247f742989ceb523f3583de30fdef4b3;e7a083ba15f595bfaa450df23522b569	ftp.sra.ebi.ac.uk/vol1/err/ERR142/032/ERR14205232/ERR14205232.bam	365995349	1cfae3d9ff8ebe00acbcd8dfb77955b7	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205232/Vc_DAN24_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205232/Vc_DAN24_y2023.R2.fastq.gz	169127100;177408040	f6661ecf27cce0826f1d90d2bf87a601;c21cc2b56b66fd41149af70c98485d79			
ERR14205238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/038/ERR14205238/ERR14205238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/038/ERR14205238/ERR14205238_2.fastq.gz	91559068;95771633	da5b738f50bb15671786e59e62f60514;9d5bcf8b7497fb14ad9f207c844289b9	ftp.sra.ebi.ac.uk/vol1/err/ERR142/038/ERR14205238/ERR14205238.bam	179028119	fb96f2ba5840d0d39f40000ed70e5d1a	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205238/Vc_DAN3_y2024.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205238/Vc_DAN3_y2024.R2.fastq.gz	106301778;111496564	a2e15d79df1814a39df48cdc4050b474;6ba8448286e74c71365aee956c5e8e77			
ERR14205247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/047/ERR14205247/ERR14205247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/047/ERR14205247/ERR14205247_2.fastq.gz	85916381;98385354	9f0ae95dae3c4b01ba54f3b059491a4f;ba052f578b153ce2fd6aa6d381cfdce5	ftp.sra.ebi.ac.uk/vol1/err/ERR142/047/ERR14205247/ERR14205247.bam	181641398	dfc45b8b9102842c23cb1d64a2b653a3	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205247/Vc_DAN11_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205247/Vc_DAN11_y2023.R2.fastq.gz	90368945;103105015	a930512f6a4a2d90973bebc5e8adb5db;f5ea3c31d349323b5724505938d67753			
ERR14205249	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/049/ERR14205249/ERR14205249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/049/ERR14205249/ERR14205249_2.fastq.gz	150061601;156284729	5cb11bf45d084664f87de1e2740ca6dd;e774a6b4f5106d448a627ea21751094b	ftp.sra.ebi.ac.uk/vol1/err/ERR142/049/ERR14205249/ERR14205249.bam	304399230	e77ceab8b592d172d7555f59bacadc06	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205249/Vc_DAN26_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205249/Vc_DAN26_y2023.R2.fastq.gz	140903574;147445610	009f2ceac00b4c14262ced4e3869173c;40d7516525a074dc92b74394e05a1991			
ERR14205254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/054/ERR14205254/ERR14205254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/054/ERR14205254/ERR14205254_2.fastq.gz	64784441;68755341	4ff012995e2da82e1a6df4718e676453;50bfebc5c3eba009b3ae712b4b6e8e2d	ftp.sra.ebi.ac.uk/vol1/err/ERR142/054/ERR14205254/ERR14205254.bam	127483141	9f07c3a15dd4346b09bec3db0ced853d	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205254/Vc_DAN1_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205254/Vc_DAN1_y2023.R2.fastq.gz	75637014;80465664	8632c64e86d0f79b3a3981f0abde3ef1;f3bc193b3dd39e09ba53e2d46d6f4580			
ERR14205255	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/055/ERR14205255/ERR14205255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/055/ERR14205255/ERR14205255_2.fastq.gz	163644667;170591160	f7147e5a6ee43721143786c0aca2e6d1;f71adf642e1c32288d7d5d1d72a4af17	ftp.sra.ebi.ac.uk/vol1/err/ERR142/055/ERR14205255/ERR14205255.bam	332228869	4e10cb41a127503b83b75fd0bba799d5	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205255/Vc_DAN27_y2023.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14205255/Vc_DAN27_y2023.R2.fastq.gz	153527128;160772594	2408c4c02fedfebdae3e09f3548ec2a8;8282e8c1b8902c9a2738a5f0f98bf250			
